FIPS,clase,incidencia_edad,confianza_inferior,confianza_superior,recuento_anual,tendencia_reciente_incidencia,intervalo_inferior,intervalo_superior
40087,estable,83,70.4,97.3,32,-6,-22.2,13.4
40089,estable,94.2,81.3,108.7,39,8.6,-9.8,30.8
40091,estable,76.9,63.9,92.3,26,-7.9,-17.6,2.9
40093,estable,59.3,40.1,85.5,6,17.9,-25.5,86.6
40095,estable,71.7,57.3,89.2,18,-10.4,-26.6,9.3
40097,estable,84.2,73.3,96.3,44,-3.4,-11,4.9
40099,estable,97.5,78.4,120.3,18,-3.7,-17,11.8
40101,estable,97.9,88.7,107.9,84,5.4,-9.7,23.1
40103,estable,59.7,43.7,80.4,9,0.1,-33.1,49.8
40105,estable,59.7,43.3,81.1,9,-9.7,-34.5,24.5
40107,estable,65.3,48.8,86,11,-1.1,-42.9,71.2
40109,estable,69.5,66.8,72.3,513,-0.8,-2.3,0.7
40111,estable,95.2,83.5,108.3,48,-5.7,-19.4,10.3
40113,estable,55.9,47.9,64.9,36,-6.2,-14.7,3
40115,estable,80.2,68.5,93.5,34,-5.2,-17.2,8.5
40117,estable,77.7,62.1,96.3,18,6.5,-28.6,58.9
40119,estable,62,53.8,71.1,42,-2.3,-16.1,13.7
40121,decendiente,76.3,66.8,86.9,47,-4.9,-6.4,-3.3
40123,estable,73.3,62.5,85.6,33,0.2,-15.3,18.5
40125,estable,85.4,76.6,94.9,70,2.5,-5.8,11.5
40127,estable,65.2,49,86,11,-15.4,-32.7,6.4
40129,desconocido,0,0,0,0,0,0,0
40131,estable,62.8,56,70.3,64,-1.1,-6,4
40133,estable,85.9,72.3,101.6,29,-2.2,-10.3,6.7
40135,estable,71.1,61.2,82.4,38,7.9,-19.2,44.1
40137,estable,69.2,60.1,79.4,42,-2.6,-10.4,5.8
40139,estable,51.3,37.5,68.2,9,-3,-38.2,52.1
40141,estable,59.7,40.7,85.5,6,4.3,-23.7,42.4
40143,estable,67.1,64.3,70.1,421,-0.9,-3.4,1.7
40145,estable,68.8,60.7,77.8,56,-1.2,-20,21.9
40147,estable,78.6,69.5,88.6,56,-0.9,-17.5,19
40149,decendiente,52.9,37.3,73.2,8,-16.9,-28.2,-3.7
40151,estable,55.5,37.3,80.2,6,6.6,-24.5,50.4
40153,estable,41,30.3,54.5,10,-24.5,-45.4,4.4
41001,estable,65,51.9,81.2,18,10.2,-11.3,36.9
41003,estable,48.9,42.4,56.1,43,-11.3,-23.4,2.8
41005,estable,55.2,52.1,58.5,245,-4.4,-10.4,2
41007,estable,72.4,62.1,84.1,37,1.7,-14.8,21.4
41009,estable,63.2,54.3,73.3,38,3.7,-2.3,10
41011,estable,73.5,66.2,81.5,78,1.2,-14.1,19.2
41013,estable,54,43.5,66.7,19,0.6,-20.9,27.8
41015,estable,61.9,51.4,74.6,29,-2.3,-14.8,12
41017,estable,53.1,48.5,58,105,-8.2,-16.1,0.5
41019,decendiente,67,61.6,72.8,118,-8.3,-13.9,-2.4
41021,desconocido,0,0,0,0,0,0,0
41023,estable,41.9,27.9,63.1,6,-1.1,-18,19.4
41025,estable,43.9,28,67.1,5,-19,-48,26.2
41027,estable,45.6,34.2,59.6,11,-15.4,-41.5,22.2
41029,estable,62.6,58.5,66.9,184,-2,-8.6,5.1
41031,estable,50.9,39.2,65.2,14,1,-16.9,22.7
41033,estable,72.1,65.8,78.9,104,4.1,-1.1,9.5
41035,estable,60.3,53.4,68,56,3.3,-2.1,9
41037,estable,47,31.8,68.8,6,-15.7,-35.6,10.4
41039,estable,53.9,50.8,57.1,237,-4.1,-9.1,1.2
41041,estable,74.4,66,83.9,60,-1.5,-10.6,8.5
41043,estable,71.3,65.3,77.7,106,-0.7,-10.7,10.5
41045,estable,54,43.8,66,20,-8.5,-25.2,12
41047,estable,66.1,62.3,70.2,227,2.4,-2.7,7.7
41049,estable,62.3,44.4,85.3,8,-9.2,-32.4,21.9
41051,estable,62.2,59.5,65,432,-4.6,-10.3,1.5
41053,estable,52.1,45.6,59.3,48,-7,-21.7,10.5
41055,desconocido,0,0,0,0,0,0,0
41057,estable,63.6,53.1,76.1,27,-4.7,-14.6,6.4
41059,estable,58,50.8,65.9,48,-1.4,-19.3,20.5
41061,decendiente,44.7,35.1,56.3,15,-16.2,-22.4,-9.5
41063,estable,46.3,30.3,70.3,6,1.7,-32.7,53.6
41065,estable,74.1,61.7,88.6,26,-6.3,-27.8,21.6
41067,estable,48,45.2,50.9,231,-1.8,-11.3,8.7
41069,desconocido,0,0,0,0,0,0,0
41071,estable,65.2,58.6,72.4,73,-3.1,-20.2,17.5
42001,estable,59.2,53.4,65.4,79,2.9,-5.5,12.2
42003,estable,72.5,70.7,74.4,1193,-3.2,-7.2,1.1
42005,estable,66.4,59.4,74.1,67,5.3,-5.5,17.3
42007,estable,76.5,71.7,81.7,192,2.2,-7.2,12.5
42009,estable,51,43.9,59.1,37,-3.8,-10.7,3.7
42011,creciente,64.1,60.9,67.4,316,2.8,0.3,5.3
42013,estable,66.3,61,71.9,119,-1.5,-21,22.7
42015,estable,70.7,63,79.1,63,3.1,-4.5,11.3
42017,estable,62.5,60,65.1,487,0.8,-4.7,6.5
42019,estable,61.4,56.9,66.1,143,0.4,-16.3,20.4
42021,estable,56.7,52.1,61.6,119,2.4,-10.1,16.7
42023,estable,60.6,39.7,92.2,5,-18.2,-41.8,15
42025,estable,72.7,65.1,81.1,68,-3.5,-9.1,2.4
42027,estable,53.1,47.9,58.8,77,-1.3,-10.3,8.7
42029,estable,54,51.3,56.9,301,-3.6,-7.6,0.5
42031,estable,59.2,50,69.6,31,-8.2,-26.9,15.4
42033,estable,60.3,54.1,67.2,69,-1.3,-5.4,3.1
42035,estable,67.7,57.8,79,34,-5.2,-16.7,7.9
42037,estable,58,51,65.9,50,-9.1,-23.6,8.2
42039,estable,67.5,61,74.5,81,-6.3,-17.8,6.9
42041,estable,56.8,53,60.8,172,-5.5,-20.3,11.9
42043,estable,66.7,62.6,70.9,210,0.6,-5.4,7
42045,decendiente,70.8,67.9,73.8,468,-6.9,-11.3,-2.2
42047,estable,65.8,56,77.2,32,-6.3,-22.1,12.7
42049,estable,66.5,62.6,70.6,225,-2.3,-10.4,6.6
42051,estable,77.5,72,83.4,151,-6.5,-13.9,1.5
42053,estable,68.6,48.7,97.1,8,-12.5,-25.3,2.5
42055,estable,58.5,53.8,63.6,116,-2.1,-7.5,3.6
42057,estable,54.3,40.6,71.5,11,-1.6,-35.8,50.7
42059,estable,84.2,73,96.8,42,-0.3,-5,4.5
42061,estable,58.4,50.1,67.9,36,0.5,-7.9,9.7
42063,estable,52.9,47,59.5,59,9,-5.5,25.7
42065,estable,66.1,57.5,75.8,43,-5.1,-16.5,7.9
42067,estable,54.7,44,67.4,18,-2.2,-9.3,5.5
42069,estable,70.4,66.1,74.9,208,-1,-8.6,7.2
42071,estable,53.3,50.8,55.9,340,-4.6,-9.9,0.9
42073,estable,71.3,65,78.2,95,1.2,-12.7,17.3
42075,estable,65.3,60.1,70.9,120,1.1,-7.7,10.6
42077,estable,63.6,60.2,67.2,271,0.3,-7.2,8.5
42079,estable,68.7,65.3,72.3,308,-0.9,-4.1,2.4
42081,estable,67.1,61.3,73.3,101,-1.6,-11.3,9.2
42083,estable,68.1,58.8,78.6,39,3,-8.6,16
42085,estable,66.9,61.3,72.9,110,-1.8,-10.2,7.3
42087,estable,70.4,61.7,80.2,48,-1,-13.2,13
42089,estable,72.5,67.1,78.2,139,-0.5,-12.9,13.8
42091,estable,56.8,54.7,59,569,-3.1,-7.1,1
42093,estable,56.1,43.8,71.2,15,7.5,-40.4,93.9
42095,estable,64.7,61.1,68.5,249,-1,-6.3,4.5
42097,estable,66.3,60.3,72.9,91,-0.5,-11.1,11.5
42099,estable,71.8,62.1,82.7,41,-7.9,-17.5,2.8
42101,decendiente,81.5,79.4,83.5,1260,-2.1,-3.3,-0.9
42103,estable,64.5,56.7,73.2,52,-3.4,-13.9,8.4
42105,estable,79.8,65.2,97.2,22,1.4,-17.4,24.6
42107,estable,68.1,63.2,73.4,144,0.7,-8.7,11
42109,estable,50.4,41.9,60.2,25,5.8,-28.8,57
42111,estable,48.5,42.9,54.8,56,0.8,-16.6,21.9
42113,creciente,69.3,49.4,97.6,8,16.8,0.5,35.7
42115,estable,53.6,45.8,62.5,35,-3.7,-23.6,21.3
42117,estable,69.6,60.3,80.1,41,-1.4,-10.8,9
42119,estable,57.6,48.7,67.7,30,-6.3,-19.5,9.1
42121,estable,74.7,66.4,83.9,60,-2.7,-14.5,10.7
42123,estable,59.9,51.4,69.4,38,-2.7,-21.9,21.1
42125,estable,68.2,64,72.6,201,0,-6.2,6.6
42127,estable,64.4,56.6,73.2,51,7.8,-8.2,26.4
42129,estable,70.5,67.3,73.8,387,-0.9,-5.9,4.3
42131,estable,77.1,64.8,91.2,29,-2.1,-10.5,7.2
42133,estable,67.2,64.1,70.5,353,-1.5,-7,4.4
44001,estable,54.5,46.8,63.3,37,-13.9,-34.6,13.4
44003,estable,68.9,63.9,74.1,150,-0.8,-8.6,7.7
44005,estable,60.1,53.8,66.9,70,1.3,-11.5,16.1
